Adiponectin_levels	24	25
Age-related_macular_degeneration	35	35
Alzheimers_disease	21	21
Asthma	22	23
Blood_pressure	34	35
Body_mass_index	74	74
Bone_mineral_density	69	69
Bone_mineral_density_spine	20	20
Breast_cancer	77	78
C-reactive_protein	40	41
Celiac_disease	26	26
Cholesterol,_total	60	61
Chronic_kidney_disease	25	25
Chronic_lymphocytic_leukemia	27	27
Colorectal_cancer	23	23
Corneal_structure	27	27
Coronary_heart_disease	58	62
Crohns_disease	141	142
Diastolic_blood_pressure	25	25
End-stage_coagulation	23	23
F-cell_distribution	21	21
Fasting_glucose-related_traits_interaction_with_BMI	22	22
Graves_disease	11	11
HDL_cholesterol	91	95
Heart_rate	23	24
Height	325	329
Hematological_and_biochemical_traits	18	20
Hypertension	20	20
Inflammatory_bowel_disease	117	117
LDL_cholesterol	66	68
Lipid_metabolism_phenotypes	39	39
Liver_enzyme_levels_gamma-glutamyl_transferase	26	26
Mean_corpuscular_hemoglobin	27	28
Mean_corpuscular_volume	34	35
Mean_platelet_volume	47	47
Menarche_age_at_onset	36	36
Menopause_age_at_onset	19	19
Metabolic_syndrome	27	28
Metabolic_traits	43	43
Metabolite_levels	79	83
Multiple_sclerosis	64	64
Myopia_pathological	39	39
Obesity	58	58
Parkinsons_disease	23	25
Phospholipid_levels_plasma	45	46
Platelet_counts	61	61
Primary_biliary_cirrhosis	23	24
Prostate_cancer	76	77
Psoriasis	24	24
Pulmonary_function	24	24
QT_interval	29	29
Red_blood_cell_traits	52	56
Refractive_error	27	27
Rheumatoid_arthritis	36	36
Schizophrenia	19	20
Systemic_lupus_erythematosus	45	47
Systolic_blood_pressure	23	23
Triglycerides	71	72
Type_1_diabetes	49	49
Type_2_diabetes	78	80
Ulcerative_colitis	74	75
Urate_levels	46	47
Ventricular_conduction	23	23
Vitiligo	25	25
